set_id,trophy_drafts,stored,eligible_decisions,eligible_trophy_drafts,mode,daily_weight
blb,3173,31615,30718,3173,Regular + selectable,1
bro,1701,18666,16528,1701,Regular + selectable,1
dft,3583,39237,34684,3583,Regular + selectable,1.1
dmu,4793,52586,46612,4793,Regular + selectable,1
dsk,3840,42088,37509,3839,Regular + selectable,1.1
ecl,2396,21564,21419,2396,Regular + selectable,1.25
eoe,2743,27430,26856,2743,Regular + selectable,1.1
fdn,2824,30977,27544,2824,Regular + selectable,1.1
fin,4342,47762,42591,4342,Regular + selectable,1.1
hbg,804,8798,7817,804,Selectable only,0
hob,617,6787,6062,617,Regular + selectable,1.25
ktk,489,5379,4782,489,Regular + selectable,1
lci,3939,43252,37890,3939,Regular + selectable,1
ltr,5131,56344,50203,5131,Regular + selectable,1
mh3,3627,39819,35701,3627,Regular + selectable,1
mid,2864,29213,25972,2856,Regular + selectable,1
mkm,4024,40109,39102,4024,Regular + selectable,1
mom,5562,61064,53606,5562,Regular + selectable,1
msh,2090,22989,20349,2090,Regular + selectable,1.25
neo,3747,40995,36011,3745,Regular + selectable,1
one,2308,25350,22507,2308,Regular + selectable,1
otj,4203,46136,41195,4203,Regular + selectable,1
pio,1406,15430,13880,1406,Selectable only,0
powered-cube,1228,11155,10098,1228,Cube,0
sir,1031,11323,10078,1031,Selectable only,0
snc,4927,53816,47621,4922,Regular + selectable,1
sos,3206,35266,31259,3206,Regular + selectable,1.25
stx,1986,19853,17794,1986,Regular + selectable,1
tdm,2411,26520,23612,2411,Regular + selectable,1.1
tla,3408,34080,30453,3408,Regular + selectable,1.25
tmt,699,6707,6008,699,Regular + selectable,1.25
vow,2132,23330,20570,2131,Regular + selectable,1
woe,4496,49233,43598,4496,Regular + selectable,1
